competency_unit,competency_unit_id,competency_unit_en,competency_embedding_text
bersedia untuk bekerja secara shifting,bersedia bekerja secara shift,willing to work in shifts,bersedia bekerja secara shift willing to work in shifts
based in,berbasis di,based in,berbasis di based in
", this",", ini",", this",", ini , this"
proficient in ms.,mahir dalam ms.,proficient in ms.,mahir dalam ms. proficient in ms.
"office (word, excel & power point)","kantor (word, excel, dan power point)","office (word, excel & power point)","kantor (word, excel, dan power point) office (word, excel & power point)"
create 2d/3d drawings,membuat gambar 2d/3d,create 2d/3d drawings,membuat gambar 2d/3d create 2d/3d drawings
understand project leadership,memahami kepemimpinan proyek,understand project leadership,memahami kepemimpinan proyek understand project leadership
understand sketch drawing,memahami gambar sketsa,understand sketch drawing,memahami gambar sketsa understand sketch drawing
create apqp & ppap documents,membuat dokumen apqp & ppap,create apqp & ppap documents,membuat dokumen apqp & ppap create apqp & ppap documents
understand the development process,memahami proses pembangunan,understand the development process,memahami proses pembangunan understand the development process
you maintain and conduct bobobox's maintenance of operational outlets and make sure the function of tools and features equipment is well functioned and operate smoothly.,Anda menjaga dan melakukan perawatan bobobox terhadap operasional outlet serta memastikan fungsi alat dan perlengkapan fitur berfungsi dengan baik dan beroperasi dengan lancar.,you maintain and conduct bobobox's maintenance of operational outlets and make sure the function of tools and features equipment is well functioned and operate smoothly.,Anda menjaga dan melakukan perawatan bobobox terhadap operasional outlet serta memastikan fungsi alat dan perlengkapan fitur berfungsi dengan baik dan beroperasi dengan lancar. you maintain and conduct bobobox's maintenance of operational outlets and make sure the function of tools and features equipment is well functioned and operate smoothly.
you will report directly to the branch leader.,Anda akan melapor langsung ke pemimpin cabang.,you will report directly to the branch leader.,Anda akan melapor langsung ke pemimpin cabang. you will report directly to the branch leader.
having experience as a hotel maintenance/hotel engineering are more favorable,memiliki pengalaman sebagai pemeliharaan hotel/teknik hotel lebih disukai,having experience as a hotel maintenance/hotel engineering are more favorable,memiliki pengalaman sebagai pemeliharaan hotel/teknik hotel lebih disukai having experience as a hotel maintenance/hotel engineering are more favorable
willing to work overtime and outside operational time.,bersedia bekerja lembur dan di luar waktu operasional.,willing to work overtime and outside operational time.,bersedia bekerja lembur dan di luar waktu operasional. willing to work overtime and outside operational time.
"responsible to support daily maintenance of building, mechanical, electrical, and plumbing in our branches","bertanggung jawab untuk mendukung pemeliharaan harian gedung, mekanikal, elektrikal, dan pipa ledeng di cabang kami","responsible to support daily maintenance of building, mechanical, electrical, and plumbing in our branches","bertanggung jawab untuk mendukung pemeliharaan harian gedung, mekanikal, elektrikal, dan pipa ledeng di cabang kami responsible to support daily maintenance of building, mechanical, electrical, and plumbing in our branches"
knowledge basic preventive maintenance of equipment building,pengetahuan dasar pemeliharaan preventif bangunan peralatan,knowledge basic preventive maintenance of equipment building,pengetahuan dasar pemeliharaan preventif bangunan peralatan knowledge basic preventive maintenance of equipment building
make sure all equipment in our branches run smoothly,memastikan semua peralatan di cabang kami berjalan dengan lancar,make sure all equipment in our branches run smoothly,memastikan semua peralatan di cabang kami berjalan dengan lancar make sure all equipment in our branches run smoothly
conduct minor repairing and fixing based on sop.,melakukan perbaikan dan perbaikan kecil berdasarkan SOP.,conduct minor repairing and fixing based on sop.,melakukan perbaikan dan perbaikan kecil berdasarkan SOP. conduct minor repairing and fixing based on sop.
maintain the inventory of working tools and equipment at the branch.,menjaga inventarisasi alat dan perlengkapan kerja di cabang.,maintain the inventory of working tools and equipment at the branch.,menjaga inventarisasi alat dan perlengkapan kerja di cabang. maintain the inventory of working tools and equipment at the branch.
fast response problem solving technical issue and reporting urgent issues.,respons cepat penyelesaian masalah masalah teknis dan pelaporan masalah mendesak.,fast response problem solving technical issue and reporting urgent issues.,respons cepat penyelesaian masalah masalah teknis dan pelaporan masalah mendesak. fast response problem solving technical issue and reporting urgent issues.
conduct training to host and cleaner for troubleshooting on minor technical issues.,melakukan pelatihan kepada tuan rumah dan petugas kebersihan untuk pemecahan masalah pada masalah teknis kecil.,conduct training to host and cleaner for troubleshooting on minor technical issues.,melakukan pelatihan kepada tuan rumah dan petugas kebersihan untuk pemecahan masalah pada masalah teknis kecil. conduct training to host and cleaner for troubleshooting on minor technical issues.
resolve issues queuing on ticketing issues of the branches.,menyelesaikan masalah antrian pada masalah tiket cabang.,resolve issues queuing on ticketing issues of the branches.,menyelesaikan masalah antrian pada masalah tiket cabang. resolve issues queuing on ticketing issues of the branches.
"technical operation staff would be to provide hands-on technical support for the facilities and equipment used in the branches, including performing routine maintenance and repairs on equipment and systems such as hvac, plumbing, and electrical systems.","staf operasi teknis akan memberikan dukungan teknis langsung untuk fasilitas dan peralatan yang digunakan di cabang, termasuk melakukan pemeliharaan rutin dan perbaikan pada peralatan dan sistem seperti hvac, pipa ledeng, dan sistem kelistrikan.","technical operation staff would be to provide hands-on technical support for the facilities and equipment used in the branches, including performing routine maintenance and repairs on equipment and systems such as hvac, plumbing, and electrical systems.","staf operasi teknis akan memberikan dukungan teknis langsung untuk fasilitas dan peralatan yang digunakan di cabang, termasuk melakukan pemeliharaan rutin dan perbaikan pada peralatan dan sistem seperti hvac, pipa ledeng, dan sistem kelistrikan. technical operation staff would be to provide hands-on technical support for the facilities and equipment used in the branches, including performing routine maintenance and repairs on equipment and systems such as hvac, plumbing, and electrical systems."
"the technical operations staff member would also be responsible for ensuring that the cleanliness and tidiness of all branch areas (lobby, pods, toilet, parking,, public facilities) and features equipment are well functioned and operate smoothly, as well as maintaining and conducting bobobox's maintenance of operational outlets and tools to minimize downtime and ensure optimal performance.","staf operasional teknis juga bertanggung jawab untuk memastikan kebersihan dan kerapihan seluruh area cabang (lobi, pod, toilet, parkir, fasilitas umum) dan perlengkapan fitur berfungsi dengan baik dan beroperasi dengan lancar, serta memelihara dan melakukan pemeliharaan outlet operasional dan peralatan bobobox untuk meminimalkan downtime dan memastikan kinerja optimal.","the technical operations staff member would also be responsible for ensuring that the cleanliness and tidiness of all branch areas (lobby, pods, toilet, parking,, public facilities) and features equipment are well functioned and operate smoothly, as well as maintaining and conducting bobobox's maintenance of operational outlets and tools to minimize downtime and ensure optimal performance.","staf operasional teknis juga bertanggung jawab untuk memastikan kebersihan dan kerapihan seluruh area cabang (lobi, pod, toilet, parkir, fasilitas umum) dan perlengkapan fitur berfungsi dengan baik dan beroperasi dengan lancar, serta memelihara dan melakukan pemeliharaan outlet operasional dan peralatan bobobox untuk meminimalkan downtime dan memastikan kinerja optimal. the technical operations staff member would also be responsible for ensuring that the cleanliness and tidiness of all branch areas (lobby, pods, toilet, parking,, public facilities) and features equipment are well functioned and operate smoothly, as well as maintaining and conducting bobobox's maintenance of operational outlets and tools to minimize downtime and ensure optimal performance."
"performing routine maintenance and repairs on equipment and systems such as hvac, plumbing, and electrical systems.","melakukan pemeliharaan dan perbaikan rutin pada peralatan dan sistem seperti hvac, pipa ledeng, dan sistem kelistrikan.","performing routine maintenance and repairs on equipment and systems such as hvac, plumbing, and electrical systems.","melakukan pemeliharaan dan perbaikan rutin pada peralatan dan sistem seperti hvac, pipa ledeng, dan sistem kelistrikan. performing routine maintenance and repairs on equipment and systems such as hvac, plumbing, and electrical systems."
"ensuring that the cleanliness and tidiness of all branch areas (lobby, pods, parking, offices, public facilities) and features equipment are well functioned and operate smoothly.","memastikan kebersihan dan kerapian seluruh area cabang (lobi, pod, parkir, kantor, fasilitas umum) dan perlengkapan fitur berfungsi dengan baik dan beroperasi dengan lancar.","ensuring that the cleanliness and tidiness of all branch areas (lobby, pods, parking, offices, public facilities) and features equipment are well functioned and operate smoothly.","memastikan kebersihan dan kerapian seluruh area cabang (lobi, pod, parkir, kantor, fasilitas umum) dan perlengkapan fitur berfungsi dengan baik dan beroperasi dengan lancar. ensuring that the cleanliness and tidiness of all branch areas (lobby, pods, parking, offices, public facilities) and features equipment are well functioned and operate smoothly."
conducting regular cleaning and disinfecting of all surfaces and equipment in accordance with health and safety guidelines.,melakukan pembersihan dan disinfeksi secara teratur pada seluruh permukaan dan peralatan sesuai dengan pedoman kesehatan dan keselamatan.,conducting regular cleaning and disinfecting of all surfaces and equipment in accordance with health and safety guidelines.,melakukan pembersihan dan disinfeksi secara teratur pada seluruh permukaan dan peralatan sesuai dengan pedoman kesehatan dan keselamatan. conducting regular cleaning and disinfecting of all surfaces and equipment in accordance with health and safety guidelines.
coordinating with vendors and contractors as needed for more complex maintenance and repair work.,berkoordinasi dengan vendor dan kontraktor sesuai kebutuhan untuk pekerjaan pemeliharaan dan perbaikan yang lebih kompleks.,coordinating with vendors and contractors as needed for more complex maintenance and repair work.,berkoordinasi dengan vendor dan kontraktor sesuai kebutuhan untuk pekerjaan pemeliharaan dan perbaikan yang lebih kompleks. coordinating with vendors and contractors as needed for more complex maintenance and repair work.
performing regular inspections of facilities and equipment to identify potential issues and proactively address them.,melakukan inspeksi berkala terhadap fasilitas dan peralatan untuk mengidentifikasi potensi masalah dan mengatasinya secara proaktif.,performing regular inspections of facilities and equipment to identify potential issues and proactively address them.,melakukan inspeksi berkala terhadap fasilitas dan peralatan untuk mengidentifikasi potensi masalah dan mengatasinya secara proaktif. performing regular inspections of facilities and equipment to identify potential issues and proactively address them.
responding to maintenance requests from guests and staff in a timely and professional manner.,menanggapi permintaan pemeliharaan dari tamu dan staf secara tepat waktu dan profesional.,responding to maintenance requests from guests and staff in a timely and professional manner.,menanggapi permintaan pemeliharaan dari tamu dan staf secara tepat waktu dan profesional. responding to maintenance requests from guests and staff in a timely and professional manner.
maintaining accurate records of maintenance and repair activities for reporting and planning purposes.,memelihara catatan akurat kegiatan pemeliharaan dan perbaikan untuk tujuan pelaporan dan perencanaan.,maintaining accurate records of maintenance and repair activities for reporting and planning purposes.,memelihara catatan akurat kegiatan pemeliharaan dan perbaikan untuk tujuan pelaporan dan perencanaan. maintaining accurate records of maintenance and repair activities for reporting and planning purposes.
"excellent communication skills, both technical and non-technical.","keterampilan komunikasi yang baik, baik teknis maupun non-teknis.","excellent communication skills, both technical and non-technical.","keterampilan komunikasi yang baik, baik teknis maupun non-teknis. excellent communication skills, both technical and non-technical."
"the technical operations staff member would also be responsible for ensuring that the cleanliness and tidiness of all branch areas (lobby, pods, toilet, parking, public facilities) and features equipment are well functioned and operate smoothly, as well as maintaining and conducting bobobox's maintenance of operational outlets and tools to minimize downtime and ensure optimal performance.","staf operasional teknis juga bertanggung jawab untuk memastikan kebersihan dan kerapian seluruh area cabang (lobi, pod, toilet, parkir, fasilitas umum) dan perlengkapan fitur berfungsi dengan baik dan beroperasi dengan lancar, serta memelihara dan melakukan pemeliharaan outlet operasional dan peralatan bobobox untuk meminimalkan downtime dan memastikan kinerja optimal.","the technical operations staff member would also be responsible for ensuring that the cleanliness and tidiness of all branch areas (lobby, pods, toilet, parking, public facilities) and features equipment are well functioned and operate smoothly, as well as maintaining and conducting bobobox's maintenance of operational outlets and tools to minimize downtime and ensure optimal performance.","staf operasional teknis juga bertanggung jawab untuk memastikan kebersihan dan kerapian seluruh area cabang (lobi, pod, toilet, parkir, fasilitas umum) dan perlengkapan fitur berfungsi dengan baik dan beroperasi dengan lancar, serta memelihara dan melakukan pemeliharaan outlet operasional dan peralatan bobobox untuk meminimalkan downtime dan memastikan kinerja optimal. the technical operations staff member would also be responsible for ensuring that the cleanliness and tidiness of all branch areas (lobby, pods, toilet, parking, public facilities) and features equipment are well functioned and operate smoothly, as well as maintaining and conducting bobobox's maintenance of operational outlets and tools to minimize downtime and ensure optimal performance."
advotics is an offline-to-online analytics platform focusing on go-to-market strategy and execution.,advotics adalah platform analitik offline-ke-online yang berfokus pada strategi dan eksekusi masuk ke pasar.,advotics is an offline-to-online analytics platform focusing on go-to-market strategy and execution.,advotics adalah platform analitik offline-ke-online yang berfokus pada strategi dan eksekusi masuk ke pasar. advotics is an offline-to-online analytics platform focusing on go-to-market strategy and execution.
technical problem diagnosis and analysis,diagnosis dan analisis masalah teknis,technical problem diagnosis and analysis,diagnosis dan analisis masalah teknis technical problem diagnosis and analysis
performing performance optimization,melakukan optimalisasi kinerja,performing performance optimization,melakukan optimalisasi kinerja performing performance optimization
working closely with product team to handle a bug issue release,bekerja sama dengan tim produk untuk menangani rilis masalah bug,working closely with product team to handle a bug issue release,bekerja sama dengan tim produk untuk menangani rilis masalah bug working closely with product team to handle a bug issue release
researching or debugging technical issues,meneliti atau men-debug masalah teknis,researching or debugging technical issues,meneliti atau men-debug masalah teknis researching or debugging technical issues
writing reports regarding product problems,menulis laporan mengenai masalah produk,writing reports regarding product problems,menulis laporan mengenai masalah produk writing reports regarding product problems
reviewing product change requests,meninjau permintaan perubahan produk,reviewing product change requests,meninjau permintaan perubahan produk reviewing product change requests
monitoring daily issues and giving solutions to clients,memantau masalah sehari-hari dan memberikan solusi kepada klien,monitoring daily issues and giving solutions to clients,memantau masalah sehari-hari dan memberikan solusi kepada klien monitoring daily issues and giving solutions to clients
analyzing daily issues and recommending improvement,menganalisis masalah sehari-hari dan merekomendasikan perbaikan,analyzing daily issues and recommending improvement,menganalisis masalah sehari-hari dan merekomendasikan perbaikan analyzing daily issues and recommending improvement
leading and managing daily issue update from team members,memimpin dan mengelola pembaruan masalah harian dari anggota tim,leading and managing daily issue update from team members,memimpin dan mengelola pembaruan masalah harian dari anggota tim leading and managing daily issue update from team members
"strong knowledge of database design (mysql, sql)","pengetahuan yang kuat tentang desain database (mysql, sql)","strong knowledge of database design (mysql, sql)","pengetahuan yang kuat tentang desain database (mysql, sql) strong knowledge of database design (mysql, sql)"
familiar with linux environment is a must,akrab dengan lingkungan linux adalah suatu keharusan,familiar with linux environment is a must,akrab dengan lingkungan linux adalah suatu keharusan familiar with linux environment is a must
passionate in software engineering,bersemangat dalam rekayasa perangkat lunak,passionate in software engineering,bersemangat dalam rekayasa perangkat lunak passionate in software engineering
"strong understanding of object-oriented design, data structures and algorithm","pemahaman yang kuat tentang desain berorientasi objek, struktur data dan algoritma","strong understanding of object-oriented design, data structures and algorithm","pemahaman yang kuat tentang desain berorientasi objek, struktur data dan algoritma strong understanding of object-oriented design, data structures and algorithm"
strong business requirement analysis is a plus,analisis kebutuhan bisnis yang kuat merupakan nilai tambah,strong business requirement analysis is a plus,analisis kebutuhan bisnis yang kuat merupakan nilai tambah strong business requirement analysis is a plus
strong software troubleshooting skills,keterampilan pemecahan masalah perangkat lunak yang kuat,strong software troubleshooting skills,keterampilan pemecahan masalah perangkat lunak yang kuat strong software troubleshooting skills
contract for 3 months,kontrak selama 3 bulan,contract for 3 months,kontrak selama 3 bulan contract for 3 months
engineering staff dapat membuat jadwal untuk perawatan preventif terhadap mesin dan peralatan untuk memastikan semua peralatan dapat beroperasi secara efektif dan pada tingkat optimum.,engineering staff dapat membuat jadwal untuk perawatan preventif terhadap mesin dan peralatan untuk memastikan semua peralatan dapat beroperasi secara efektif dan pada tingkat optimum.,Engineering staff can create schedules for preventive maintenance on machines and equipment to ensure all equipment can operate effectively and at optimum levels.,engineering staff dapat membuat jadwal untuk perawatan preventif terhadap mesin dan peralatan untuk memastikan semua peralatan dapat beroperasi secara efektif dan pada tingkat optimum. Engineering staff can create schedules for preventive maintenance on machines and equipment to ensure all equipment can operate effectively and at optimum levels.
membantu engineering supervisor dalam pemantauan anggaran untuk memastikan pemeliharaan dilakukan dengan biaya yang disepakati.,membantu engineering supervisor dalam pemantauan anggaran untuk memastikan pemeliharaan dilakukan dengan biaya yang disepakati.,assist engineering supervisor in budget monitoring to ensure maintenance is performed at agreed costs.,membantu engineering supervisor dalam pemantauan anggaran untuk memastikan pemeliharaan dilakukan dengan biaya yang disepakati. assist engineering supervisor in budget monitoring to ensure maintenance is performed at agreed costs.
memastikan ketersediaan peralatan yang diperlukan tetap tersedia.,memastikan ketersediaan peralatan yang diperlukan tetap tersedia.,ensure the availability of necessary equipment remains available.,memastikan ketersediaan peralatan yang diperlukan tetap tersedia. ensure the availability of necessary equipment remains available.
mencatat persediaan dan perawatan peralatan yang digunakan.,mencatat persediaan dan perawatan peralatan yang digunakan.,record inventory and maintenance of equipment used.,mencatat persediaan dan perawatan peralatan yang digunakan. record inventory and maintenance of equipment used.
memberikan informasi kepada publik;,memberikan informasi kepada publik;,provide information to the public;,memberikan informasi kepada publik; provide information to the public;
menanggapi pertanyaan dan keluhan tamu.,menanggapi pertanyaan dan keluhan tamu.,Respond to guest questions and complaints.,menanggapi pertanyaan dan keluhan tamu. Respond to guest questions and complaints.
merencanakan dan mengelola proyek konstruksi.,merencanakan dan mengelola proyek konstruksi.,planning and managing construction projects.,merencanakan dan mengelola proyek konstruksi. planning and managing construction projects.
"mencatat segala macam proyek yang harus diselesaikan, serta melaporkan dan mencatat segala proyek yang sudah diselesaikan.","mencatat segala macam proyek yang harus diselesaikan, serta melaporkan dan mencatat segala proyek yang sudah diselesaikan.","record all kinds of projects that must be completed, as well as report and record all projects that have been completed.","mencatat segala macam proyek yang harus diselesaikan, serta melaporkan dan mencatat segala proyek yang sudah diselesaikan. record all kinds of projects that must be completed, as well as report and record all projects that have been completed."
your work will play a crucial role in enhancing user experience and driving product adoption in the respective market.,pekerjaan Anda akan memainkan peran penting dalam meningkatkan pengalaman pengguna dan mendorong adopsi produk di pasar terkait.,your work will play a crucial role in enhancing user experience and driving product adoption in the respective market.,pekerjaan Anda akan memainkan peran penting dalam meningkatkan pengalaman pengguna dan mendorong adopsi produk di pasar terkait. your work will play a crucial role in enhancing user experience and driving product adoption in the respective market.
"translate and localize content with cultural sensitivity, ensuring clarity and readability for our indonesian users","menerjemahkan dan melokalisasi konten dengan kepekaan budaya, memastikan kejelasan dan keterbacaan bagi pengguna kami di Indonesia","translate and localize content with cultural sensitivity, ensuring clarity and readability for our indonesian users","menerjemahkan dan melokalisasi konten dengan kepekaan budaya, memastikan kejelasan dan keterbacaan bagi pengguna kami di Indonesia translate and localize content with cultural sensitivity, ensuring clarity and readability for our indonesian users"
"support sales and marketing initiatives through translation of presentations, events materials, and digital advertising content","mendukung inisiatif penjualan dan pemasaran melalui penerjemahan presentasi, materi acara, dan konten iklan digital","support sales and marketing initiatives through translation of presentations, events materials, and digital advertising content","mendukung inisiatif penjualan dan pemasaran melalui penerjemahan presentasi, materi acara, dan konten iklan digital support sales and marketing initiatives through translation of presentations, events materials, and digital advertising content"
"collaborate with marketing team, sales teams and partners to continuously improve translation quality","berkolaborasi dengan tim pemasaran, tim penjualan, dan mitra untuk terus meningkatkan kualitas terjemahan","collaborate with marketing team, sales teams and partners to continuously improve translation quality","berkolaborasi dengan tim pemasaran, tim penjualan, dan mitra untuk terus meningkatkan kualitas terjemahan collaborate with marketing team, sales teams and partners to continuously improve translation quality"
"native-level proficiency in bahasa indonesia (reading, writing, speaking, and copywriting)","kemahiran tingkat asli dalam bahasa indonesia (membaca, menulis, berbicara, dan copywriting)","native-level proficiency in bahasa indonesia (reading, writing, speaking, and copywriting)","kemahiran tingkat asli dalam bahasa indonesia (membaca, menulis, berbicara, dan copywriting) native-level proficiency in bahasa indonesia (reading, writing, speaking, and copywriting)"
professional working proficiency in english,kemahiran kerja profesional dalam bahasa Inggris,professional working proficiency in english,kemahiran kerja profesional dalam bahasa Inggris professional working proficiency in english
good command of it tools,penguasaan alat yang baik,good command of it tools,penguasaan alat yang baik good command of it tools
demonstrated ability to work independently,menunjukkan kemampuan untuk bekerja secara mandiri,demonstrated ability to work independently,menunjukkan kemampuan untuk bekerja secara mandiri demonstrated ability to work independently
excellent communication and teamwork skills,keterampilan komunikasi dan kerja tim yang sangat baik,excellent communication and teamwork skills,keterampilan komunikasi dan kerja tim yang sangat baik excellent communication and teamwork skills
attention to details,perhatian terhadap detail,attention to details,perhatian terhadap detail attention to details
professional translation and copywriting portfolio,portofolio terjemahan dan copywriting profesional,professional translation and copywriting portfolio,portofolio terjemahan dan copywriting profesional professional translation and copywriting portfolio
saas industry experience,pengalaman industri saas,saas industry experience,pengalaman industri saas saas industry experience
"experiences related to business and/or industries (supply chain, accounting, etc) writing","pengalaman terkait dengan bisnis dan/atau industri (rantai pasokan, akuntansi, dll) penulisan","experiences related to business and/or industries (supply chain, accounting, etc) writing","pengalaman terkait dengan bisnis dan/atau industri (rantai pasokan, akuntansi, dll) penulisan experiences related to business and/or industries (supply chain, accounting, etc) writing"
capture high-quality raw photos on time (we handle the editing),mengambil foto mentah berkualitas tinggi tepat waktu (kami menangani pengeditannya),capture high-quality raw photos on time (we handle the editing),mengambil foto mentah berkualitas tinggi tepat waktu (kami menangani pengeditannya) capture high-quality raw photos on time (we handle the editing)
cover diverse events from corporate functions to product launches and social gatherings,meliput beragam acara mulai dari acara perusahaan hingga peluncuran produk dan pertemuan sosial,cover diverse events from corporate functions to product launches and social gatherings,meliput beragam acara mulai dari acara perusahaan hingga peluncuran produk dan pertemuan sosial cover diverse events from corporate functions to product launches and social gatherings
"capture key moments, candid shots, and the event ambiance","mengabadikan momen penting, foto candid, dan suasana acara","capture key moments, candid shots, and the event ambiance","mengabadikan momen penting, foto candid, dan suasana acara capture key moments, candid shots, and the event ambiance"
adapt your approach to each event's unique needs,sesuaikan pendekatan Anda dengan kebutuhan unik setiap acara,adapt your approach to each event's unique needs,sesuaikan pendekatan Anda dengan kebutuhan unik setiap acara adapt your approach to each event's unique needs
collaborate with other photographers when needed,berkolaborasi dengan fotografer lain bila diperlukan,collaborate with other photographers when needed,berkolaborasi dengan fotografer lain bila diperlukan collaborate with other photographers when needed
"use your professional camera gear, including cameras, lenses, and lighting equipment","gunakan perlengkapan kamera profesional Anda, termasuk kamera, lensa, dan perlengkapan pencahayaan","use your professional camera gear, including cameras, lenses, and lighting equipment","gunakan perlengkapan kamera profesional Anda, termasuk kamera, lensa, dan perlengkapan pencahayaan use your professional camera gear, including cameras, lenses, and lighting equipment"
guide participants and set up shots for the best results,memandu peserta dan mengatur pengambilan gambar untuk hasil terbaik,guide participants and set up shots for the best results,memandu peserta dan mengatur pengambilan gambar untuk hasil terbaik guide participants and set up shots for the best results
communicate effectively with clients and the shootday team,berkomunikasi secara efektif dengan klien dan tim shootday,communicate effectively with clients and the shootday team,berkomunikasi secara efektif dengan klien dan tim shootday communicate effectively with clients and the shootday team
good communication skills and a professional attitude,kemampuan komunikasi yang baik dan sikap profesional,good communication skills and a professional attitude,kemampuan komunikasi yang baik dan sikap profesional good communication skills and a professional attitude
ability to work in different environments and event types,kemampuan untuk bekerja di lingkungan dan jenis acara yang berbeda,ability to work in different environments and event types,kemampuan untuk bekerja di lingkungan dan jenis acara yang berbeda ability to work in different environments and event types
a team player who works well with others when needed,seorang pemain tim yang bekerja dengan baik dengan orang lain saat dibutuhkan,a team player who works well with others when needed,seorang pemain tim yang bekerja dengan baik dengan orang lain saat dibutuhkan a team player who works well with others when needed
a photography degree or equivalent experience,gelar fotografi atau pengalaman setara,a photography degree or equivalent experience,gelar fotografi atau pengalaman setara a photography degree or equivalent experience
have legal authorization to work in the specified location,mempunyai izin sah untuk bekerja di lokasi yang ditentukan,have legal authorization to work in the specified location,mempunyai izin sah untuk bekerja di lokasi yang ditentukan have legal authorization to work in the specified location
own and maintain your photography gear,miliki dan pelihara perlengkapan fotografi Anda,own and maintain your photography gear,miliki dan pelihara perlengkapan fotografi Anda own and maintain your photography gear
demonstrates good understanding of diesel genset mechanical systems related to an enclosure design.,menunjukkan pemahaman yang baik tentang sistem mekanis genset diesel yang terkait dengan desain penutup.,demonstrates good understanding of diesel genset mechanical systems related to an enclosure design.,menunjukkan pemahaman yang baik tentang sistem mekanis genset diesel yang terkait dengan desain penutup. demonstrates good understanding of diesel genset mechanical systems related to an enclosure design.
good understanding of asian cultures and business practices.,pemahaman yang baik tentang budaya Asia dan praktik bisnis.,good understanding of asian cultures and business practices.,pemahaman yang baik tentang budaya Asia dan praktik bisnis. good understanding of asian cultures and business practices.
"good team player with proactiveness, good communication skills and positive attitude.","pemain tim yang baik dengan proaktif, keterampilan komunikasi yang baik dan sikap positif.","good team player with proactiveness, good communication skills and positive attitude.","pemain tim yang baik dengan proaktif, keterampilan komunikasi yang baik dan sikap positif. good team player with proactiveness, good communication skills and positive attitude."
willingness to travel.,kesediaan untuk bepergian.,willingness to travel.,kesediaan untuk bepergian. willingness to travel.
mainly in apac.,terutama di Apac.,mainly in apac.,terutama di Apac. mainly in apac.
"this role combines data-driven business analysis, market and competitive research, and executive-level coordination to enhance strategic decision-making and operational effectiveness.","peran ini menggabungkan analisis bisnis berbasis data, riset pasar dan persaingan, serta koordinasi tingkat eksekutif untuk meningkatkan pengambilan keputusan strategis dan efektivitas operasional.","this role combines data-driven business analysis, market and competitive research, and executive-level coordination to enhance strategic decision-making and operational effectiveness.","peran ini menggabungkan analisis bisnis berbasis data, riset pasar dan persaingan, serta koordinasi tingkat eksekutif untuk meningkatkan pengambilan keputusan strategis dan efektivitas operasional. this role combines data-driven business analysis, market and competitive research, and executive-level coordination to enhance strategic decision-making and operational effectiveness."
"support executive-level projects, strategic documentation, and preparation of presentations, proposals, and communication materials.","mendukung proyek tingkat eksekutif, dokumentasi strategis, dan persiapan presentasi, proposal, dan materi komunikasi.","support executive-level projects, strategic documentation, and preparation of presentations, proposals, and communication materials.","mendukung proyek tingkat eksekutif, dokumentasi strategis, dan persiapan presentasi, proposal, dan materi komunikasi. support executive-level projects, strategic documentation, and preparation of presentations, proposals, and communication materials."
"conduct business, market, and competitor research to support executive and bd strategic decisions.","melakukan riset bisnis, pasar, dan pesaing untuk mendukung keputusan strategis eksekutif dan bd.","conduct business, market, and competitor research to support executive and bd strategic decisions.","melakukan riset bisnis, pasar, dan pesaing untuk mendukung keputusan strategis eksekutif dan bd. conduct business, market, and competitor research to support executive and bd strategic decisions."
"prepare weekly, monthly, and ad-hoc performance reports for internal and executive review.","menyiapkan laporan kinerja mingguan, bulanan, dan ad-hoc untuk tinjauan internal dan eksekutif.","prepare weekly, monthly, and ad-hoc performance reports for internal and executive review.","menyiapkan laporan kinerja mingguan, bulanan, dan ad-hoc untuk tinjauan internal dan eksekutif. prepare weekly, monthly, and ad-hoc performance reports for internal and executive review."
"maintain crm databases, performance dashboards, and internal reporting tools to ensure accurate and timely data visibility.","memelihara basis data CRM, dasbor kinerja, dan alat pelaporan internal untuk memastikan visibilitas data yang akurat dan tepat waktu.","maintain crm databases, performance dashboards, and internal reporting tools to ensure accurate and timely data visibility.","memelihara basis data CRM, dasbor kinerja, dan alat pelaporan internal untuk memastikan visibilitas data yang akurat dan tepat waktu. maintain crm databases, performance dashboards, and internal reporting tools to ensure accurate and timely data visibility."
"handle legal documentation, vendor registration, and client paperwork required for bd operations.","menangani dokumentasi hukum, pendaftaran vendor, dan dokumen klien yang diperlukan untuk operasi bd.","handle legal documentation, vendor registration, and client paperwork required for bd operations.","menangani dokumentasi hukum, pendaftaran vendor, dan dokumen klien yang diperlukan untuk operasi bd. handle legal documentation, vendor registration, and client paperwork required for bd operations."
"provide administrative support for client registrations, confirmations, and related documents.","memberikan dukungan administratif untuk pendaftaran klien, konfirmasi, dan dokumen terkait.","provide administrative support for client registrations, confirmations, and related documents.","memberikan dukungan administratif untuk pendaftaran klien, konfirmasi, dan dokumen terkait. provide administrative support for client registrations, confirmations, and related documents."
this position requires specific skills and experience.,posisi ini membutuhkan keterampilan dan pengalaman khusus.,this position requires specific skills and experience.,posisi ini membutuhkan keterampilan dan pengalaman khusus. this position requires specific skills and experience.
please review the criteria,harap tinjau kriterianya,please review the criteria,harap tinjau kriterianya please review the criteria
only if you meet the stated requirements!,hanya jika Anda memenuhi persyaratan yang disebutkan!,only if you meet the stated requirements!,hanya jika Anda memenuhi persyaratan yang disebutkan! only if you meet the stated requirements!
fluent in english (spoken and written).,fasih berbahasa Inggris (lisan dan tulisan).,fluent in english (spoken and written).,fasih berbahasa Inggris (lisan dan tulisan). fluent in english (spoken and written).
